Organism	Proteome_ID	Assembly	Annotation	Common Name	Euk. BUSCO %	Emb. BUSCO %	Data Usage Policy
Gossypium hirsutum v1.1 (https://phytozome-next.jgi.doe.gov/info/Ghirsutum_v1_1)	458	HA	HA	upland cotton	99.0	97.8	unrestricted
Gossypium hirsutum v2.1 (https://phytozome-next.jgi.doe.gov/info/Ghirsutum_v2_1)	527	HA	HA	upland cotton	99.0	98.5	unrestricted
Gossypium hirsutum CSX8308 v1.1 (https://phytozome-next.jgi.doe.gov/info/GhirsutumCSX8308_v1_1)	570	HA	HA	upland cotton	98.7	98.5	restricted
Gossypium hirsutum Coker v1.1 (https://phytozome-next.jgi.doe.gov/info/GhirsutumCoker_v1_1)	698	HA	HA	upland cotton	99.0	98.7	restricted
Gossypium hirsutum DeltaPearl v1.1 (https://phytozome-next.jgi.doe.gov/info/GhirsutumDeltaPearl_v1_1)	695	HA	HA	upland cotton	99.3	98.7	restricted
Gossypium hirsutum FM958 v1.1 (https://phytozome-next.jgi.doe.gov/info/GhirsutumFM958_v1_1)	697	HA	HA	upland cotton	99.0	98.5	restricted
Gossypium hirsutum UA48 v1.1 (https://phytozome-next.jgi.doe.gov/info/GhirsutumUA48_v1_1)	569	HA	HA	upland cotton	99.0	98.3	restricted
Gossypium hirsutum UGA230 v1.1 (https://phytozome-next.jgi.doe.gov/info/GhirsutumUGA230_v1_1)	568	HA	HA	upland cotton	99.0	98.5	restricted
Gossypium mustelinum v1.1 (https://phytozome-next.jgi.doe.gov/info/Gmustelinum_v1_1)	524	HA	HA	cotton	99.3	98.3	unrestricted
Gossypium raimondii v2.1 (https://phytozome-next.jgi.doe.gov/info/Graimondii_v2_1)	221	JGI	JGI	cotton	98.3	97.4	unrestricted
Gossypium tomentosum v1.1 (https://phytozome-next.jgi.doe.gov/info/Gtomentosum_v1_1)	525	HA	HA	cotton	99.3	98.6	unrestricted
Helianthus annuus r1.2 (https://phytozome-next.jgi.doe.gov/info/Hannuus_r1_2)	494	INRA	INRA	sunflower	98.0	93.6	unrestricted
Hordeum vulgare r1 (https://phytozome-next.jgi.doe.gov/info/Hvulgare_r1)	462	IBSC	IBSC	barley	91.4	84.7	unrestricted
Hordeum vulgare Morex V3 (https://phytozome-next.jgi.doe.gov/info/HvulgareMorex_V3)	702	HA	IPK	Morex barley	92.1	94.7	unrestricted
Hydrangea quercifolia v1.1 (https://phytozome-next.jgi.doe.gov/info/Hquercifolia_v1_1)	589	HA	HA	oakleaf hydrangea	96.7	93.1	restricted
Iberis amara v1.1 (https://phytozome-next.jgi.doe.gov/info/Iamara_v1_1)	485	JGI	JGI	rocket candytuft	98.3	96.5	restricted
Isatis tinctoria v1.1 (https://phytozome-next.jgi.doe.gov/info/Itinctoria_v1_1)	475	JGI	JGI	dyer's woad	98.0	96.8	restricted
Joinvillea ascendens v1.1 (https://phytozome-next.jgi.doe.gov/info/Jascendens_v1_1)	587	JGI	JGI	`ohe	98.0	98.0	restricted
Kalanchoe fedtschenkoi v1.1 (https://phytozome-next.jgi.doe.gov/info/Kfedtschenkoi_v1_1)	382	JGI	JGI	lavender scallops	96.7	89.5	unrestricted
Kalanchoe laxiflora v1.1 (https://phytozome-next.jgi.doe.gov/info/Klaxiflora_v1_1)	309	JGI	JGI		98.7	94.3	restricted
Kalanchoe laxiflora FTBG2000359A v3.1 (https://phytozome-next.jgi.doe.gov/info/KlaxifloraFTBG2000359A_v3_1)	699	JGI	JGI		98.7	93.2	restricted
Lactuca sativa V8 (https://phytozome-next.jgi.doe.gov/info/Lsativa_V8)	467	UCDavis	UCDavis	lettuce	96.4	92.5	unrestricted
Lens culinaris v1 (https://phytozome-next.jgi.doe.gov/info/Lculinaris_v1)	718	USask	USask		97.4	92.4	unrestricted
Lens ervoides v1 (https://phytozome-next.jgi.doe.gov/info/Lervoides_v1)	719	USask	USask		96.7	92.7	unrestricted
Lepidium sativum v1.1 (https://phytozome-next.jgi.doe.gov/info/Lsativum_v1_1)	478	JGI	JGI	garden cress	98.7	98.0	restricted
Lindenbergia philippensis v1.1 (https://phytozome-next.jgi.doe.gov/info/Lphilippensis_v1_1)	689	JGI	JGI		98.0	96.7	restricted
Linum usitatissimum v1.0 (https://phytozome-next.jgi.doe.gov/info/Lusitatissimum_v1_0)	200	BGI	BGI	flax	97.7	92.1	unrestricted
Liriodendron tulipifera YP108A v1.1 (https://phytozome-next.jgi.doe.gov/info/LtulipiferaYP108A_v1_1)	766	JGI	JGI		98.0	98.3	restricted
Liriodendron tulipifera YP108A alt v1.1 (https://phytozome-next.jgi.doe.gov/info/LtulipiferaYP108Aalt_v1_1)	767	JGI	JGI		95.7	94.7	restricted
Lotus japonicus Lj1.0v1 (https://phytozome-next.jgi.doe.gov/info/Ljaponicus_Lj1_0v1)	571	HAU	HAU		98.3	96.7	unrestricted
Lunaria annua v1.1 (https://phytozome-next.jgi.doe.gov/info/Lannua_v1_1)	476	JGI	JGI	annual honesty	98.7	97.6	restricted
Lupinus albus v1 (https://phytozome-next.jgi.doe.gov/info/Lalbus_v1)	567	PeretLab	PeretLab	white lupine	97.0	95.0	unrestricted
Malcolmia maritima v1.1 (https://phytozome-next.jgi.doe.gov/info/Mmaritima_v1_1)	477	JGI	JGI	Virginia stock	99.0	98.8	restricted
Malus domestica v1.1 (https://phytozome-next.jgi.doe.gov/info/Mdomestica_v1_1)	491	AGE	AGE	apple	96.4	96.8	restricted
Manihot esculenta v6.1 (https://phytozome-next.jgi.doe.gov/info/Mesculenta_v6_1)	305	JGI	JGI	cassava	97.7	95.3	unrestricted
Manihot esculenta v7.1 (https://phytozome-next.jgi.doe.gov/info/Mesculenta_v7_1)	520	UC Berkeley	JGI	cassava	98.7	98.1	unrestricted
Manihot esculenta v8.1 (https://phytozome-next.jgi.doe.gov/info/Mesculenta_v8_1)	671	UCB	JGI	cassava	98.3	98.7	unrestricted
Marchantia polymorpha v3.1 (https://phytozome-next.jgi.doe.gov/info/Mpolymorpha_v3_1)	320	JGI	JGI	common liverwort	97.7	66.7	unrestricted
Medicago truncatula Mt4.0v1 (https://phytozome-next.jgi.doe.gov/info/Mtruncatula_Mt4_0v1)	285	JCVI	JCVI	barrel medic	97.4	93.6	unrestricted
Micromonas pusilla CCMP1545 v3.0 (https://phytozome-next.jgi.doe.gov/info/MpusillaCCMP1545_v3_0)	228	JGI.FG	JGI.FG		87.5	21.1	unrestricted
Micromonas sp RCC299 v3.0 (https://phytozome-next.jgi.doe.gov/info/MspRCC299_v3_0)	229	JGI.FG	JGI.FG		89.8	22.7	unrestricted
Mimulus guttatus v2.0 (https://phytozome-next.jgi.doe.gov/info/Mguttatus_v2_0)	256	JGI	JGI	monkey flower	98.0	94.5	unrestricted
Mimulus guttatus NONTOL v3.1 (https://phytozome-next.jgi.doe.gov/info/MguttatusNONTOL_v3_1)	506	JGI	JGI	monkey flower	91.9	91.9	restricted
Mimulus guttatus NONTOL v4.0 (https://phytozome-next.jgi.doe.gov/info/MguttatusNONTOL_v4_0)	553	JGI	JGI	monkey flower	95.7	91.8	restricted
Mimulus guttatus TOL v3.1 (https://phytozome-next.jgi.doe.gov/info/MguttatusTOL_v3_1)	505	JGI	JGI	monkey flower	93.0	93.0	restricted
Mimulus guttatus TOL v5.0 (https://phytozome-next.jgi.doe.gov/info/MguttatusTOL_v5_0)	551	JGI	JGI	monkey flower	96.0	93.1	restricted
Miscanthus sinensis v7.1 (https://phytozome-next.jgi.doe.gov/info/Msinensis_v7_1)	497	JGI	JGI	Chinese silver grass	97.7	97.6	unrestricted
Musa acuminata v1 (https://phytozome-next.jgi.doe.gov/info/Macuminata_v1)	304	Genoscope/Cirad	Genoscope/Cirad	banana	94.1	86.7	unrestricted
Myagrum perfoliatum v1.1 (https://phytozome-next.jgi.doe.gov/info/Mperfoliatum_v1_1)	471	JGI	JGI	bird's eye cress	98.3	97.6	restricted
Myagrum perfoliatum v2.1 (https://phytozome-next.jgi.doe.gov/info/Mperfoliatum_v2_1)	583	JGI	JGI	bird's eye cress	98.0	98.5	restricted
Nymphaea colorata v1.2 (https://phytozome-next.jgi.doe.gov/info/Ncolorata_v1_2)	566	Zhejiang University	JGI	water lilly	98.0	92.5	unrestricted
Olea europaea v1.0 (https://phytozome-next.jgi.doe.gov/info/Oeuropaea_v1_0)	451	OGC	OGC	olive	90.1	79.9	unrestricted
Oropetium thomaeum v1.0 (https://phytozome-next.jgi.doe.gov/info/Othomaeum_v1_0)	386	DanforthCenter	DanforthCenter		84.2	70.2	unrestricted
Oryza sativa v7.0 (https://phytozome-next.jgi.doe.gov/info/Osativa_v7_0)	323	MSU	MSU	rice	95.0	95.6	unrestricted
Oryza sativa Kitaake v3.1 (https://phytozome-next.jgi.doe.gov/info/OsativaKitaake_v3_1)	499	JGI	JGI	rice	98.3	99.1	unrestricted
Ostreococcus lucimarinus v2.0 (https://phytozome-next.jgi.doe.gov/info/Olucimarinus_v2_0)	231	JGI.FG	JGI.FG		84.5	20.2	unrestricted
Panicum hallii v2.0 (https://phytozome-next.jgi.doe.gov/info/Phallii_v2_0)	308	JGI	JGI	Hall's panicgrass	97.4	96.6	unrestricted
Panicum hallii v3.1 (https://phytozome-next.jgi.doe.gov/info/Phallii_v3_1)	495	JGI	JGI	Hall's panicgrass	97.4	98.1	unrestricted
Panicum hallii v3.2 (https://phytozome-next.jgi.doe.gov/info/Phallii_v3_2)	590	JGI	JGI	Hall's panicgrass	97.7	99.3	unrestricted
Panicum hallii HAL v2.1 (https://phytozome-next.jgi.doe.gov/info/PhalliiHAL_v2_1)	496	JGI	JGI	Hall's panicgrass	98.0	98.9	unrestricted
Panicum hallii HAL v2.2 (https://phytozome-next.jgi.doe.gov/info/PhalliiHAL_v2_2)	591	JGI	JGI	Hall's panicgrass	98.3	99.2	unrestricted
Panicum virgatum v4.1 (https://phytozome-next.jgi.doe.gov/info/Pvirgatum_v4_1)	450	JGI	JGI	switchgrass	98.0	98.3	unrestricted
Panicum virgatum v5.1 (https://phytozome-next.jgi.doe.gov/info/Pvirgatum_v5_1)	516	JGI	JGI	switchgrass	98.3	99.4	unrestricted
Panicum virgatum var. AP13 HAP1 v6.1 (https://phytozome-next.jgi.doe.gov/info/Pvirgatumvar_AP13HAP1_v6_1)	772	JGI	JGI	switchgrass	98.3	99.7	restricted
Panicum virgatum var. AP13 HAP2 v6.1 (https://phytozome-next.jgi.doe.gov/info/Pvirgatumvar_AP13HAP2_v6_1)	773	JGI	JGI	switchgrass	98.3	99.7	restricted
Paspalum vaginatum v3.1 (https://phytozome-next.jgi.doe.gov/info/Pvaginatum_v3_1)	672	HA	JGI	biscuit grass	97.7	98.9	unrestricted
Pharus latifolius v1.1 (https://phytozome-next.jgi.doe.gov/info/Platifolius_v1_1)	680	JGI	JGI		98.0	98.4	restricted
Phaseolus acutifolius v1.0 (https://phytozome-next.jgi.doe.gov/info/Pacutifolius_v1_0)	580	HA	MSU	tepary bean	97.4	94.7	unrestricted
Phaseolus acutifolius WLD v2.0 (https://phytozome-next.jgi.doe.gov/info/PacutifoliusWLD_v2_0)	581	U Saskatchewan	MSU	tepary bean	96.4	95.8	unrestricted
Phaseolus lunatus V1 (https://phytozome-next.jgi.doe.gov/info/Plunatus_V1)	563	Uniandes	Uniandes	lima bean	96.4	93.7	restricted
Phaseolus vulgaris v2.1 (https://phytozome-next.jgi.doe.gov/info/Pvulgaris_v2_1)	442	JGI	JGI	common bean	97.7	96.4	restricted
Phaseolus vulgaris 5-593 v1.1 (https://phytozome-next.jgi.doe.gov/info/Pvulgaris5_593_v1_1)	696	HA	HA	common bean	98.3	96.0	restricted
Phaseolus vulgaris Labor Ovalle v1.1 (https://phytozome-next.jgi.doe.gov/info/PvulgarisLaborOvalle_v1_1)	670	HA	HA	common bean	98.3	95.1	restricted
Phaseolus vulgaris UI111 v1.1 (https://phytozome-next.jgi.doe.gov/info/PvulgarisUI111_v1_1)	534	JGI	JGI	common bean	98.3	96.9	restricted
Physcomitrium patens v3.3 (https://phytozome-next.jgi.doe.gov/info/Ppatens_v3_3)	318	COSMOSS	COSMOSS	moss Physcomitrella patens	98.7	67.9	unrestricted
Poncirus trifoliata v1.3.1 (https://phytozome-next.jgi.doe.gov/info/Ptrifoliata_v1_3_1)	565	JGI	JGI	hardy orange	97.4	97.2	unrestricted
Populus deltoides WV94 v2.1 (https://phytozome-next.jgi.doe.gov/info/PdeltoidesWV94_v2_1)	445	JGI	JGI	eastern cottonwood	97.7	94.4	restricted
Populus nigra x maximowiczii NM6 v1.1 (https://phytozome-next.jgi.doe.gov/info/PnigraxmaximowicziiNM6_v1_1)	688	JGI	JGI	hybrid poplar	99.3	98.6	restricted
Populus tremula x Populus alba HAP1 v5.1 (https://phytozome-next.jgi.doe.gov/info/PtremulaxPopulusalbaHAP1_v5_1)	717	JGI	JGI		98.7	98.7	restricted
Populus tremula x Populus alba HAP2 v5.1 (https://phytozome-next.jgi.doe.gov/info/PtremulaxPopulusalbaHAP2_v5_1)	716	JGI	JGI		98.3	98.7	restricted
Populus trichocarpa v3.0 (https://phytozome-next.jgi.doe.gov/info/Ptrichocarpa_v3_0)	210	JGI	JGI	western poplar	98.7	97.6	unrestricted
Populus trichocarpa v3.1 (https://phytozome-next.jgi.doe.gov/info/Ptrichocarpa_v3_1)	444	JGI	JGI	western poplar	98.7	97.4	unrestricted
Populus trichocarpa v4.1 (https://phytozome-next.jgi.doe.gov/info/Ptrichocarpa_v4_1)	533	JGI	JGI	western poplar	98.7	98.9	unrestricted
Populus trichocarpa Stettler14 v1.1 (https://phytozome-next.jgi.doe.gov/info/PtrichocarpaStettler14_v1_1)	532	JGI	JGI	western poplar	98.3	98.3	restricted
Porphyra umbilicalis v1.5 (https://phytozome-next.jgi.doe.gov/info/Pumbilicalis_v1_5)	456	JGI	JGI	seaweed	62.0	7.7	unrestricted
Portulaca amilis v1.0 (https://phytozome-next.jgi.doe.gov/info/Pamilis_v1_0)	692	Yale	Yale	Paraguayan purslane	93.7	89.0	unrestricted
Prunus persica v2.1 (https://phytozome-next.jgi.doe.gov/info/Ppersica_v2_1)	298	JGI	JGI	peach	99.0	98.8	unrestricted
Quercus rubra v2.1 (https://phytozome-next.jgi.doe.gov/info/Qrubra_v2_1)	687	HA	HA	northern red oak	97.7	97.4	restricted
Ricinus communis v0.1 (https://phytozome-next.jgi.doe.gov/info/Rcommunis_v0_1)	119	TIGR	TIGR	castor bean plant	94.1	90.0	unrestricted
Rorippa islandica v1.1 (https://phytozome-next.jgi.doe.gov/info/Rislandica_v1_1)	473	JGI	JGI	marsh cress	98.7	98.1	restricted
Saccharum officinarum x spontaneum R570 v2.1 (https://phytozome-next.jgi.doe.gov/info/SofficinarumxspontaneumR570_v2_1)	771	JGI	JGI	sugarcane	98.7	99.8	restricted
Salix purpurea v1.0 (https://phytozome-next.jgi.doe.gov/info/Spurpurea_v1_0)	289	JGI/JCVI	JGI/JCVI	shrub willow	98.7	97.0	unrestricted
Salix purpurea v5.1 (https://phytozome-next.jgi.doe.gov/info/Spurpurea_v5_1)	519	JGI	JGI	shrub willow	98.3	97.0	unrestricted
Salix purpurea Fish Creek v3.1 (https://phytozome-next.jgi.doe.gov/info/SpurpureaFishCreek_v3_1)	518	JGI	JGI	shrub willow	98.3	97.2	unrestricted
Schrenkiella parvula v2.2 (https://phytozome-next.jgi.doe.gov/info/Sparvula_v2_2)	574	LSU	LSU		98.3	96.8	unrestricted
Selaginella moellendorffii v1.0 (https://phytozome-next.jgi.doe.gov/info/Smoellendorffii_v1_0)	91	JGI	JGI	spikemoss	95.7	61.8	unrestricted
Setaria italica v2.2 (https://phytozome-next.jgi.doe.gov/info/Sitalica_v2_2)	312	JGI	JGI	foxtail millet	98.7	98.4	unrestricted
Setaria viridis v1.1 (https://phytozome-next.jgi.doe.gov/info/Sviridis_v1_1)	311	JGI	JGI	green foxtail millet	97.7	97.5	unrestricted
Setaria viridis v2.1 (https://phytozome-next.jgi.doe.gov/info/Sviridis_v2_1)	500	JGI	JGI	green foxtail millet	98.0	99.0	unrestricted
Setaria viridis v4.1 (https://phytozome-next.jgi.doe.gov/info/Sviridis_v4_1)	726	JGI	JGI	green foxtail millet	98.3	99.2	restricted
Sinapis alba v1.1 (https://phytozome-next.jgi.doe.gov/info/Salba_v1_1)	480	JGI	JGI	white mustard	98.0	98.2	restricted
Sinapis alba v3.1 (https://phytozome-next.jgi.doe.gov/info/Salba_v3_1)	584	JGI	JGI	white mustard	98.3	98.1	restricted
Solanum lycopersicum ITAG2.4 (https://phytozome-next.jgi.doe.gov/info/Slycopersicum_ITAG2_4)	390	iTAG	iTAG	tomato	96.3	95.5	unrestricted
Solanum lycopersicum ITAG3.2 (https://phytozome-next.jgi.doe.gov/info/Slycopersicum_ITAG3_2)	514	iTAG	ITAG	tomato	95.7	94.5	unrestricted
Solanum lycopersicum ITAG4.0 (https://phytozome-next.jgi.doe.gov/info/Slycopersicum_ITAG4_0)	691	SGN	ITAG	tomato	95.4	93.6	unrestricted
Solanum lycopersicum ITAG5.0 (https://phytozome-next.jgi.doe.gov/info/Slycopersicum_ITAG5_0)	796	AGI_CAAS_Shenzhen	AGI_CAAS_Shenzhen	tomato	94.7	93.5	restricted
Solanum tuberosum v4.03 (https://phytozome-next.jgi.doe.gov/info/Stuberosum_v4_03)	448	MSU	MSU	potato	87.1	85.5	unrestricted
Solanum tuberosum v6.1 (https://phytozome-next.jgi.doe.gov/info/Stuberosum_v6_1)	686	MSU	MSU	potato	98.0	95.1	unrestricted
Sorghum bicolor v3.1.1 (https://phytozome-next.jgi.doe.gov/info/Sbicolor_v3_1_1)	454	JGI	JGI	sorghum	98.3	98.3	unrestricted
Sorghum bicolor v5.1 (https://phytozome-next.jgi.doe.gov/info/Sbicolor_v5_1)	730	JGI	JGI	sorghum	98.7	99.7	restricted
Sorghum bicolor BTx642 v1.1 (https://phytozome-next.jgi.doe.gov/info/SbicolorBTx642_v1_1)	564	JGI	JGI	sorghum	98.3	99.4	restricted
Sorghum bicolor RTx430 v2.1 (https://phytozome-next.jgi.doe.gov/info/SbicolorRTx430_v2_1)	552	JGI	JGI	sorghum	98.0	99.2	restricted
Sorghum bicolor Rio v2.1 (https://phytozome-next.jgi.doe.gov/info/SbicolorRio_v2_1)	468	JGI	JGI	sorghum	97.0	97.0	unrestricted
Sorghum bicolor SC187 v1.1 (https://phytozome-next.jgi.doe.gov/info/SbicolorSC187_v1_1)	694	JGI	JGI	sorghum	98.0	99.4	restricted
Sorghum bicolor Wray v1.1 (https://phytozome-next.jgi.doe.gov/info/SbicolorWray_v1_1)	781	JGI	JGI		98.0	99.4	restricted
Sphagnum fallax v0.5 (https://phytozome-next.jgi.doe.gov/info/Sfallax_v0_5)	310	JGI	JGI	flat-topped bogmoss	98.0	71.1	unrestricted
Sphagnum fallax v1.1 (https://phytozome-next.jgi.doe.gov/info/Sfallax_v1_1)	522	JGI	JGI	flat-topped bogmoss	98.3	71.3	unrestricted
Sphagnum magellanicum v1.1 (https://phytozome-next.jgi.doe.gov/info/Smagellanicum_v1_1)	521	JGI	JGI	magellanic bogmoss Sphagnum divinum	98.3	71.6	unrestricted
Spinacia oleracea Spov3 (https://phytozome-next.jgi.doe.gov/info/Soleracea_Spov3)	575	UCD	UCD	spinach	92.7	83.9	unrestricted
Spirodela polyrhiza v2 (https://phytozome-next.jgi.doe.gov/info/Spolyrhiza_v2)	290	MIPS	MIPS	greater duckweed	92.7	79.6	unrestricted
Stanleya pinnata v1.1 (https://phytozome-next.jgi.doe.gov/info/Spinnata_v1_1)	486	JGI	JGI	Princes Plume	82.8	71.2	restricted
Theobroma cacao v1.1 (https://phytozome-next.jgi.doe.gov/info/Tcacao_v1_1)	233	CGD	CGD	cocoa bean	98.3	97.7	unrestricted
Theobroma cacao v2.1 (https://phytozome-next.jgi.doe.gov/info/Tcacao_v2_1)	523	JGI	JGI	cocoa bean	98.3	98.1	restricted
Thinopyrum intermedium v2.1 (https://phytozome-next.jgi.doe.gov/info/Tintermedium_v2_1)	503	JGI	JGI	intermediate wheatgrass	97.7	97.4	restricted
Thinopyrum intermedium v3.1 (https://phytozome-next.jgi.doe.gov/info/Tintermedium_v3_1)	770	JGI	JGI	intermediate wheatgrass	98.3	99.7	unrestricted
Thlaspi arvense v1.1 (https://phytozome-next.jgi.doe.gov/info/Tarvense_v1_1)	479	JGI	JGI	field pennycress	98.3	97.5	restricted
Thuja plicata v3.1 (https://phytozome-next.jgi.doe.gov/info/Tplicata_v3_1)	572	UBC	JGI	western red-cedar	96.7	84.5	unrestricted
Trifolium pratense v2 (https://phytozome-next.jgi.doe.gov/info/Tpratense_v2)	385	TGAC	TGAC	red clover	93.4	87.6	unrestricted
Triticum aestivum v2.2 (https://phytozome-next.jgi.doe.gov/info/Taestivum_v2_2)	296	MIPS	MIPS	wheat	92.7	89.4	unrestricted
Triticum aestivum cv. Chinese Spring v2.1 (https://phytozome-next.jgi.doe.gov/info/Taestivumcv_ChineseSpring_v2_1)	725	IWGSC	IWGSC	bread wheat	98.0	99.3	unrestriced
Urochloa fusca v1.1 (https://phytozome-next.jgi.doe.gov/info/Ufusca_v1_1)	669	JGI	JGI		95.4	97.2	restricted
Vaccinium darrowii v1.2 (https://phytozome-next.jgi.doe.gov/info/Vdarrowii_v1_2)	700	USDA/UTK	USDA/UTK	evergreen blueberry	93.7	90.1	unrestricted
Vigna unguiculata v1.1 (https://phytozome-next.jgi.doe.gov/info/Vunguiculata_v1_1)	469	UCR	JGI	cowpea	98.3	95.9	unrestricted
Vigna unguiculata v1.2 (https://phytozome-next.jgi.doe.gov/info/Vunguiculata_v1_2)	540	UCR	JGI	cowpea	98.7	96.0	restricted
Vigna unguiculata CB5-2 v1.1 (https://phytozome-next.jgi.doe.gov/info/VunguiculataCB5_2_v1_1)	545	UCR	JGI	cowpea	97.7	95.1	restricted
Vigna unguiculata Sanzi v1.1 (https://phytozome-next.jgi.doe.gov/info/VunguiculataSanzi_v1_1)	544	UCR	JGI	cowpea	96.7	95.6	restricted
Vigna unguiculata Suvita2 v1.1 (https://phytozome-next.jgi.doe.gov/info/VunguiculataSuvita2_v1_1)	541	UCR	JGI	cowpea	98.0	95.3	restricted
Vigna unguiculata TZ30 v1.2 (https://phytozome-next.jgi.doe.gov/info/VunguiculataTZ30_v1_2)	558	UCR	JGI	cowpea	97.7	95.3	restricted
Vigna unguiculata UCR779 v1.1 (https://phytozome-next.jgi.doe.gov/info/VunguiculataUCR779_v1_1)	543	UCR	JGI	cowpea	97.0	95.6	restricted
Vigna unguiculata ZN016 v1.2 (https://phytozome-next.jgi.doe.gov/info/VunguiculataZN016_v1_2)	559	UCR	JGI	cowpea	96.7	95.6	restricted
Vitis vinifera v2.1 (https://phytozome-next.jgi.doe.gov/info/Vvinifera_v2_1)	457	CRIBI	CRIBI	grape vine	97.7	95.8	unrestricted
Volvox carteri v2.1 (https://phytozome-next.jgi.doe.gov/info/Vcarteri_v2_1)	317	JGI	JGI	volvox	94.7	26.0	unrestricted
Zea mays RefGen_V4 (https://phytozome-next.jgi.doe.gov/info/Zmays_RefGen_V4)	493	CSHL	CSHL	maize	97.7	95.2	unrestricted
Zea mays Zm-B73-REFERENCE-NAM-5.0.55 (https://phytozome-next.jgi.doe.gov/info/Zmays_Zm_B73_REFERENCE_NAM_5_0_55)	833	MaizeGDB	nam-genomes	maize	97.0	96.4	unrestricted
Zea mays B84 v1.2 (https://phytozome-next.jgi.doe.gov/info/ZmaysB84_v1_2)	681	JGI	JGI	maize	98.7	99.2	unrestricted
Zea mays LH145 v1.2 (https://phytozome-next.jgi.doe.gov/info/ZmaysLH145_v1_2)	682	JGI	JGI	maize	99.0	99.1	unrestricted
Zea mays NKH8431 v1.2 (https://phytozome-next.jgi.doe.gov/info/ZmaysNKH8431_v1_2)	683	JGI	JGI	maize	98.7	99.2	unrestricted
Zea mays PH207 v1.1 (https://phytozome-next.jgi.doe.gov/info/ZmaysPH207_v1_1)	443	UMN	UMN	maize	95.0	87.9	unrestricted
Zea mays PHB47 v1.1 (https://phytozome-next.jgi.doe.gov/info/ZmaysPHB47_v1_1)	513	JGI	JGI	maize	97.7	97.4	unrestricted
Zea mays PHB47 v1.2 (https://phytozome-next.jgi.doe.gov/info/ZmaysPHB47_v1_2)	684	JGI	JGI	maize	98.7	99.0	unrestricted
Zea mays PHJ40 v1.1 (https://phytozome-next.jgi.doe.gov/info/ZmaysPHJ40_v1_1)	512	JGI	JGI	maize	98.7	98.0	unrestricted
Zea mays PHJ40 v1.2 (https://phytozome-next.jgi.doe.gov/info/ZmaysPHJ40_v1_2)	685	JGI	JGI	maize	98.7	99.2	unrestricted
Zostera marina v2.2 (https://phytozome-next.jgi.doe.gov/info/Zmarina_v2_2)	324	ORCAE	ORCAE	common eelgrass	97.0	85.0	unrestricted
Zostera marina v3.1 (https://phytozome-next.jgi.doe.gov/info/Zmarina_v3_1)	668	JGI	Ghent	common eelgrass	96.0	85.3	unrestricted
